City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lompoc,34.6391,-120.4579,76.01,65,0,24.0,US,1714253886
1,port-aux-francais,-49.35,70.2167,41.7,73,100,19.64,TF,1714254126
2,lihue,21.9789,-159.3672,78.39,80,75,10.36,US,1714253926
3,papatowai,-46.5619,169.4708,54.43,76,10,3.47,NZ,1714253905
4,waitangi,-43.9535,-176.5597,56.82,80,18,4.0,NZ,1714254127
5,bikenibeu village,1.3673,173.1241,84.16,89,75,9.22,KI,1714253901
6,kone,-21.0595,164.8658,76.75,73,71,3.44,NC,1714254128
7,remire-montjoly,4.9167,-52.2667,82.44,83,100,6.91,GF,1714254128
8,albany,42.6001,-73.9662,63.25,70,100,5.48,US,1714254088
9,grytviken,-54.2811,-36.5092,39.07,99,100,17.67,GS,1714254129
10,puerto deseado,-47.7503,-65.8938,51.75,40,76,31.94,AR,1714254130
11,mana,5.6592,-53.7767,79.84,79,89,6.8,GF,1714254131
12,corner brook,48.9667,-57.9484,46.56,63,11,4.12,CA,1714253409
13,college,64.8569,-147.8028,53.92,42,20,8.05,US,1714254132
14,georgetown,5.4112,100.3354,84.13,83,20,3.44,MY,1714254132
15,fortuna,40.5982,-124.1573,58.93,73,100,10.36,US,1714254132
16,qaqortoq,60.7167,-46.0333,30.63,94,100,4.21,GL,1714254133
17,codrington,-38.2667,141.9667,47.93,70,77,9.33,AU,1714253913
18,apomu,7.3333,4.1833,84.06,93,53,3.44,NG,1714254134
19,yellowknife,62.456,-114.3525,32.41,55,20,9.22,CA,1714254134
20,kodiak,57.79,-152.4072,44.11,76,100,14.97,US,1714253900
21,tofol,5.3248,163.0078,81.97,83,100,15.3,FM,1714253909
22,anloga,5.7947,0.8973,84.31,84,34,10.6,GH,1714254136
23,hawaiian paradise park,19.5933,-154.9731,80.11,81,20,9.22,US,1714254136
24,usinsk,65.9939,57.5281,29.07,93,100,14.0,RU,1714254027
25,teguise,29.0605,-13.564,64.62,60,20,10.36,ES,1714254137
26,khash,28.2211,61.2158,60.26,39,88,9.6,IR,1714254137
27,marsa alam,25.0757,34.8918,78.19,52,1,10.74,EG,1714254138
28,stanley,54.868,-1.6985,40.77,90,0,2.3,GB,1714253869
29,adamstown,-25.066,-130.1015,73.29,85,100,16.8,PN,1714254139
30,egersund,58.4513,5.9997,41.09,73,100,13.53,NO,1714254139
31,puerto natales,-51.7236,-72.4875,41.45,75,100,9.22,CL,1714254140
32,vorgashor,67.5833,63.95,18.07,95,84,11.81,RU,1714253910
33,iqaluit,63.7506,-68.5145,24.53,92,100,18.41,CA,1714253907
34,ust-nera,64.5667,143.2,20.37,94,91,6.46,RU,1714253915
35,al hudaydah,14.7978,42.9545,84.06,80,35,17.85,YE,1714254142
36,la passe,45.5549,-0.8967,53.98,84,85,16.58,FR,1714254142
37,santa ana,33.7456,-117.8678,78.85,58,0,14.97,US,1714254142
38,polyarnyy,69.1989,33.4478,30.11,86,100,9.89,RU,1714253924
39,port elizabeth,-33.918,25.5701,66.09,87,63,5.01,ZA,1714253901
40,ha'il,27.5219,41.6907,77.02,29,40,9.22,SA,1714254144
